Resort Name,Package Title,Longitude,Latitude,Has Valid Coordinates,Source,Price,Link
"MIMPI Perhentian Resort","",102.7230018,5.9214587,true,"resortlocations","",""
"Perhentian Island Resort","",102.7432174,5.9025828,true,"resortlocations","",""
"The Barat Perhentian","",102.7392473,5.9007076,true,"resortlocations","",""
"Coral View Island Resort","",102.7396239,5.902128,true,"resortlocations","",""
"Senja Bay Resort","",102.7169061,5.9122767,true,"resortlocations","",""
"Ombak Dive Resort","",102.7169863,5.9150505,true,"resortlocations","",""
"Shari-la Island Resort","",102.7162544,5.9152695,true,"resortlocations","",""
"Cocohut Long Beach Resort","",102.7205338,5.9189479,true,"resortlocations","",""
"Alunan Resort","",102.7227115,5.8951106,true,"resortlocations","",""
"Arwana Perhentian Resort","",102.7508136,5.8949915,true,"resortlocations","",""
"Flora Bay Chalet","",102.7460122,5.8907596,true,"resortlocations","",""
"Samudra Beach Chalet","",102.7497951,5.8939709,true,"resortlocations","",""
"Mimpi Perhentian Resort","",102.7230018,5.9214587,true,"resortlocations","",""
"Barat Beach Resort","",102.7392473,5.9007076,true,"resortlocations","",""
"The Barat Beach Resort","",102.7392473,5.9007076,true,"resortlocations","",""
"The Cocohut Resort","",102.7205338,5.9189479,true,"resortlocations","",""
"Flora Bay Resort","",102.7460122,5.8907596,true,"resortlocations","",""
"Alunan Resort , Kecil","",102.7227115,5.8951106,true,"resortlocations","",""
"Arwana Resort","",102.7508136,5.8949915,true,"resortlocations","",""
"Barat Tioman Resort","",102.7392473,5.9007076,true,"resortlocations","",""
"Coral View Island Resort","3D2N Coral View Island Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 500","https://www.amitravel.my/package-pakej/3d2n-coral-view-island-resort-snorkeling-package-pulau-perhentian/"
"Senja Bay Resort","3D2N Senja Bay Resort (Fullboard Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 230","https://www.amitravel.my/package-pakej/3d2n-senja-bay-resort-fullboard-snorkeling-package-pulau-perhentian/"
"Arwana Resort","2D1N Arwana Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 408","https://www.amitravel.my/package-pakej/2d1n-arwana-resort-snorkeling-package-pulau-perhentian/"
"Resort","3D2N Perhentian Island Resort (Honeymoon), Pulau Perhentian",0,0,false,"amitravel","RM 2388","https://www.amitravel.my/package-pakej/3d2n-perhentian-island-resort-honeymoon-pulau-perhentian/"
"Resort","3D2N Perhentian Island Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 678","https://www.amitravel.my/package-pakej/3d2n-fb-snorkeling-perhentian-island/"
"Resort","3D2N Perhentian Island Resort (Diving Package), Pulau Perhentian",0,0,false,"amitravel","RM 792","https://www.amitravel.my/package-pakej/3d2n-diving-perhentian-island-resort-pulau-perhentian/"
"Discovery Resort","3D2N Discovery Perhentian Island Resort, Pulau Perhentian",0,0,false,"amitravel","RM 582","https://www.amitravel.my/package-pakej/3d2n-discovery-perhentian-island-resort-pulau-perhentian/"
"Ombak Dive Resort","4D3N Relax at Ombak Dive Resort, Pulau Perhentian",0,0,false,"amitravel","RM 810","https://www.amitravel.my/package-pakej/4d3n-relax-ombak-dive-resort-pulau-perhentian/"
"Senja Bay Resort","3D2N Senja Bay Resort (Relaxing Package), Pulau Perhentian",0,0,false,"amitravel","RM 264","https://www.amitravel.my/package-pakej/3d2n-senja-bay-resort-relaxing-package-pulau-perhentian/"
"Senja Bay Resort","3D2N Senja Bay Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 324","https://www.amitravel.my/package-pakej/3d2n-senja-bay-resort-snorkeling-package-pulau-perhentian/"
"Mimpi Perhentian Resort","3D2N Mimpi Perhentian Resort (Diving Package), Pulau Perhentian",0,0,false,"amitravel","RM 1524","https://www.amitravel.my/package-pakej/3d2n-diving-package-with-mimpi-perhentian-resort-pulau-perhentian/"
"Perhentian","3D2N The Barat Perhentian (Full Board & 3 Dives), Pulau Perhentian",0,0,false,"amitravel","RM 632","https://www.amitravel.my/package-pakej/3d2n-the-barat-perhentian-full-board-3-dives-pulau-perhentian/"
"Mimpi Perhentian Resort","3D2N Mimpi Perhentian Resort (Free & Easy), Pulau Perhentian",0,0,false,"amitravel","RM 450","https://www.amitravel.my/package-pakej/3d2n-mimpi-perhentian-resort-honeymoon-pulau-perhentian/"
"Perhentian","4D3N The Barat Perhentian (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 618","https://www.amitravel.my/package-pakej/4d3n-the-barat-perhentian-snorkeling-package-pulau-perhentian-2/"
"Perhentian","4D3N The Barat Perhentian (Full Board & 6 Dives), Pulau Perhentian",0,0,false,"amitravel","RM 1104","https://www.amitravel.my/package-pakej/4d3n-the-barat-perhentian-full-board-6-dives-pulau-perhentian/"
"Perhentian","4D3N The Barat Perhentian (Full Board & Open Water Course), Pulau Perhentian",0,0,false,"amitravel","RM 1925","https://www.amitravel.my/package-pakej/4d3n-the-barat-perhentian-full-board-open-water-course-pulau-perhentian/"
"Perhentian","3D2N The Barat Perhentian (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 438","https://www.amitravel.my/package-pakej/3d2n-the-barat-perhentian-snorkeling-package-pulau-perhentian/"
"Senja Bay Resort","4D3N Senja Bay Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 684","https://www.amitravel.my/package-pakej/4d3n-senja-bay-resort-snorkeling-package-pulau-perhentian/"
"Samudra Beach Chalet","4D3N Samudra Beach Chalet (Snorkeling 3 Islands Package – Perhentian, Rawa & Susu Dara), Pulau Perhentian",0,0,false,"amitravel","RM 540","https://www.amitravel.my/package-pakej/4d3n-samudra-beach-chalet-snorkeling-3-islands-package-perhentian-rawa-susu-dara-pulau-perhentian/"
"Samudra Beach Chalet","3D2N Samudra Beach Chalet (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 360","https://www.amitravel.my/package-pakej/3d2n-samudra-beach-chalet-snorkeling-package-pulau-perhentian/"
"Samudra Beach Chalet","3D2N Samudra Beach Chalet (Snorkeling 3 Islands Package – Perhentian, Redang & Lang Tengah), Pulau Perhentian (Min 6 pax)",0,0,false,"amitravel","RM 456","https://www.amitravel.my/package-pakej/3d2n-samudra-beach-chalet-snorkeling-3-islands-package-perhentian-redang-lang-tengah-pulau-perhentian-min-6-pax/"
"Samudra Beach Chalet","3D2N Samudra Beach Chalet (Snorkeling 3 Islands Package – Perhentian, Rawa & Susu Dara), Pulau Perhentian (Min 4 pax)",0,0,false,"amitravel","RM 420","https://www.amitravel.my/package-pakej/3d2n-samudra-beach-chalet-snorkeling-3-islands-package-perhentian-rawa-susu-dara-pulau-perhentian-min-4-pax/"
"The Cocohut Resort","3D2N Discovery Package at The Cocohut Resort Pulau Perhentian",0,0,false,"amitravel","RM 492","https://www.amitravel.my/package-pakej/3-days-2-nights-cocohut-resort-cozy-chalet-early-bird-promotion-pulau-perhentian/"
"Mimpi Perhentian Resort","3D2N Mimpi Perhentian Resort (Honeymoon), Pulau Perhentian",0,0,false,"amitravel","RM 1588","https://www.amitravel.my/package-pakej/3d2n-mimpi-perhentian-resort-honeymoon-pulau-perhentian-2/"
"The Cocohut Resort","4D3N Discovery Package at The Cocohut Resort, Pulau Perhentian",0,0,false,"amitravel","RM 708","https://www.amitravel.my/package-pakej/4-days-3-night-cocohut-resort-cozy-chalet-early-bird-promotion-pulau-perhentian/"
"Bubu Long Beach Resort","3D2N Bubu Long Beach Resort, Pulau Perhentian",0,0,false,"amitravel","RM 1260","https://www.amitravel.my/package-pakej/3-days-2-night-bubu-long-beach-resort-pulau-perhentian/"
"Shari-La Island Resort","3D2N Shari-La Island Resort, Pulau Perhentian",0,0,false,"amitravel","RM 396","https://www.amitravel.my/package-pakej/3d2n-free-easy-package-shari-la-island-resort/"
"Paradise at Bubu Resort","3D2N Romance In Paradise at Bubu Resort, Pulau Perhentian",0,0,false,"amitravel","RM 2880","https://www.amitravel.my/package-pakej/3d2n-romance-paradise-bubu-resort-pulau-perhentian/"
"Cozy Chalet","3D2N Discovery Package at Cozy Chalet, Pulau Perhentian",0,0,false,"amitravel","RM 492","https://www.amitravel.my/package-pakej/3d2n-discovery-package-at-cozy-chalet-pulau-perhentian/"
"Ombak Dive Resort","3D2N Chillax at Ombak Dive Resort, Pulau Perhentian",0,0,false,"amitravel","RM 552","https://www.amitravel.my/package-pakej/3d2n-relax-ombak-dive-resort-pulau-perhentian/"
"Barat Perhentian Beach Resort","4D3N Open Water Dive Course (PADI) at Barat Perhentian Beach Resort, Pulau Perhentian",0,0,false,"amitravel","RM 1730","https://www.amitravel.my/package-pakej/4d3n-open-water-dive-course-padi-at-barat-perhentian-beach-resort/"
"Arwana Perhentian Eco Resort","3D2N Honeymoon at Arwana Perhentian Eco Resort, Pulau Perhentian",0,0,false,"amitravel","RM 888","https://www.amitravel.my/package-pakej/3d2n-honeymoon-arwana-perhentian-eco-resort-pulau-perhentian/"
"Alunan Resort , Kecil","3D2N Alunan Resort (Honeymoon Package), Pulau Perhentian Kecil",0,0,false,"amitravel","RM 1566","https://www.amitravel.my/package-pakej/3d2n-alunan-resort-honeymoon-package-pulau-perhentian-kecil/"
"The Cocohut Resort","2D1N Snorkeling Package at The Cocohut Resort, Pulau Perhentian",0,0,false,"amitravel","RM 288","https://www.amitravel.my/package-pakej/2d1n-snorkeling-package-at-the-cocohut-resort-pulau-perhentian/"
"Mimpi Perhentian Resort With Open Water Diver Course","5D4N Mimpi Perhentian Resort With Open Water Diver Course (PADI), Pulau Perhentian",0,0,false,"amitravel","RM 2910","https://www.amitravel.my/package-pakej/5d4n-open-water-diver-course-padi-with-mimpi-perhentian-resort-pulau-perhentian/"
"Shari-La Island Resort","3D2N Snorkeling Package at Shari-La Island Resort, Pulau Perhentian",0,0,false,"amitravel","RM 540","https://www.amitravel.my/package-pakej/3d2n-snorkeling-package-shari-la-island-resort-pulau-perhentian/"
"Flora Bay Resort","3D2N Snorkeling package at Flora Bay Resort, Pulau Perhentian (Min 4)",0,0,false,"amitravel","RM 438","https://www.amitravel.my/package-pakej/3d2n-snorkeling-package-flora-bay-resort-pulau-perhentian-min-8/"
"Flora Bay Resort","2D1N Snorkeling Package at Flora Bay Resort, Pulau Perhentian (Min 4)",0,0,false,"amitravel","RM 246","https://www.amitravel.my/package-pakej/2d1n-snorkeling-package-min-8-flora-bay-resort-pulau-perhentian/"
"Ombak Dive Resort","4D3N Snorkeling Package at Ombak Dive Resort, Pulau Perhentian",0,0,false,"amitravel","RM 918","https://www.amitravel.my/package-pakej/4d3n-snorkeling-package-ombak-dive-resort-pulau-perhentian/"
"Ombak Dive Resort","3D2N Snorkeling Package at Ombak Dive Resort, Pulau Perhentian",0,0,false,"amitravel","RM 660","https://www.amitravel.my/package-pakej/3d2n-snorkeling-package-ombak-dive-resort-pulau-perhentian/"
"5 Points , Terengganu – Turtle Beach, Turtle Point, Teluk Keke, Shark Point & Air Berani","5 Points Pulau Perhentian, Terengganu (Snorkeling & Island Hopping) – Turtle Beach, Turtle Point, Teluk Keke, Shark Point & Air Berani",0,0,false,"amitravel","RM 120","https://www.amitravel.my/package-pakej/5-points-pulau-perhentian-terengganu-snorkeling-island-hopping-turtle-beach-turtle-point-teluk-keke-shark-point-air-berani/"
"Ayah Hostel","3D2N / 2D1N Snorkeling Package at Ayah Hostel, Pulau Perhentian Kecil (Kampung Nelayan)",0,0,false,"amitravel","RM 222","https://www.amitravel.my/package-pakej/3d2n-2d1n-snorkeling-package-at-ayah-hostel-pulau-perhentian-kecil-kampung-nelayan/"
"6","3D2N / 2D1N D Rock Garden Resort, Pulau Perhentian (Snorkeling at Rawa & Perhentian Island) – Min 6",0,0,false,"amitravel","RM 386","https://www.amitravel.my/package-pakej/3d2n-2d1n-d-rock-garden-resort-pulau-perhentian-snorkeling-at-rawa-perhentian-island-min-6/"
"6","3D2N / 2D1N Mentari Save Park, Pulau Perhentian (Snorkeling at Rawa & Perhentian Island) – Min 6",0,0,false,"amitravel","RM 224","https://www.amitravel.my/package-pakej/3d2n-2d1n-mentari-save-park-pulau-perhentian-snorkeling-at-rawa-perhentian-island-min-6/"
"Alunan Resort , Kecil","3D2N Alunan Resort (Snorkeling Package), Pulau Perhentian Kecil",0,0,false,"amitravel","RM 822","https://www.amitravel.my/package-pakej/3d2n-alunan-resort-snorkeling-package-pulau-perhentian-kecil/"
"Mimpi Perhentian Resort","3D2N Mimpi Perhentian Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 1020","https://www.amitravel.my/package-pakej/3d2n-mimpi-perhentian-resort-snorkeling-package-pulau-perhentian/"
"6","3D2N / 2D1N Perhentian Damia, Pulau Perhentian (Snorkeling at Rawa & Perhentian Island) – Min 6",0,0,false,"amitravel","RM 204","https://www.amitravel.my/package-pakej/3d2n-2d1n-perhentian-damia-pulau-perhentian-snorkeling-at-rawa-perhentian-island-min-6/"
"6","3D2N / 2D1N  Villamas Perhentian Resort, Pulau Perhentian (Snorkeling at Rawa & Perhentian Island) – Min 6",0,0,false,"amitravel","RM 283","https://www.amitravel.my/package-pakej/3d2n-2d1n-villamas-perhentian-resort-pulau-perhentian-snorkeling-at-rawa-perhentian-island-min-6/"
"6","3D2N / 2D1N  Ombak Resort, Pulau Perhentian (Snorkeling at Rawa & Perhentian Island) – Min 6",0,0,false,"amitravel","RM 400","https://www.amitravel.my/package-pakej/3d2n-2d1n-ombak-resort-pulau-perhentian-snorkeling-at-rawa-perhentian-island-min-6/"
"6","3D2N / 2D1N Murai Guesthouse, Pulau Perhentian (Snorkeling at Rawa & Perhentian Island) – Min 6",0,0,false,"amitravel","RM 209","https://www.amitravel.my/package-pakej/3d2n-2d1n-murai-guesthouse-pulau-perhentian-snorkeling-at-rawa-perhentian-island-min-6/"
"Alunan Resort , Kecil","4D3N Alunan Resort (Snorkeling Package), Pulau Perhentian Kecil",0,0,false,"amitravel","RM 1234","https://www.amitravel.my/package-pakej/4d3n-alunan-resort-snorkeling-package-pulau-perhentian-kecil/"
"The Barat Perhentian","4D3N Diving Package at The Barat Perhentian, Pulau Perhentian",0,0,false,"amitravel","RM 978","https://www.amitravel.my/package-pakej/4d3n-diving-package-barat-perhentian-pulau-perhentian/"
"Ombak Dive Resort","3D2N Scuba Diving Package at Ombak Dive Resort, Pulau Perhentian",0,0,false,"amitravel","RM 792","https://www.amitravel.my/package-pakej/3d2n-scuba-diving-package-ombak-dive-resort-pulau-perhentian/"
"Coral View Island Resort","2D1N Coral View Island Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 315","https://www.amitravel.my/package-pakej/2d1n-coral-view-island-resort-snorkeling-package-pulau-perhentian/"
"Coral View Island Resort","4D3N Coral View Island Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 685","https://www.amitravel.my/package-pakej/4d3n-coral-view-island-resort-snorkeling-package-pulau-perhentian/"
"Bubu Resort Long Beach","3D2N Bubu Resort Long Beach (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 1600","https://www.amitravel.my/package-pakej/3d2n-bubu-resort-long-beach-snorkeling-package-pulau-perhentian/"
"Arwana Resort","3D2N Arwana Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 683","https://www.amitravel.my/package-pakej/3d2n-nature-explore-arwana-resort-pulau-perhentian/"
"Coral View Island Resort","(2025 Promo) 2d1n Perhentian Coral View Island Resort Snorkeling Package",102.7235,5.8968,true,"holidaygogogopackages","RM 342","https://www.holidaygogogo.com/2d1n-perhentian-coral-view-island-resort-snorkeling-package/"
"Coral View Island Resort","(2025 Promo) 4d3n Perhentian Coral View Island Resort Snorkeling Package",102.7235,5.8968,true,"holidaygogogopackages","RM 737","https://www.holidaygogogo.com/4d3n-perhentian-coral-view-island-resort-snorkeling-package/"
"Perhentian Coral View Island Resort","(2025 Promo) 3d2n Perhentian Coral View Island Resort Snorkeling Package",102.7235,5.8968,true,"holidaygogogopackages","RM 555","https://www.holidaygogogo.com/3d2n-perhentian-coral-view-island-resort-snorkeling-package/"
"The Barat Beach Resort","(2025 Promo) 3d2n Barat Perhentian Resort Snorkeling Package",102.719234,5.918765,true,"holidaygogogopackages","RM 443","https://www.holidaygogogo.com/3d2n-the-barat-beach-resort-snorkeling-package/"
"The Barat Beach Resort","(2025 Promo) 4d3n Barat Perhentian Resort Snorkeling Package",102.719234,5.918765,true,"holidaygogogopackages","RM 593","https://www.holidaygogogo.com/4d3n-the-barat-beach-resort-snorkeling-package/"
"The Barat Beach Resort","(2025 Promo) 3d2n Barat Perhentian Resort Diving Package",102.719234,5.918765,true,"holidaygogogopackages","RM 614","https://www.holidaygogogo.com/3d2n-the-barat-perhentian-beach-resort-diving-package/"
"The Barat Beach Resort","(2025 Promo) 4d3n Barat Perhentian Resort Diving Package",102.719234,5.918765,true,"holidaygogogopackages","RM 1,034","https://www.holidaygogogo.com/4d3n-the-barat-perhentian-beach-resort-diving-package/"
"Perhentian Island Resort","(2025 Promo) 3d2n Perhentian Island Resort (PIR) Snorkeling Package",102.743217,5.902583,true,"holidaygogogopackages","RM 635","https://www.holidaygogogo.com/3d2n-perhentian-full-board-snorkeling-package-perhentian-island-resort/"
"Perhentian Island Resort","(2025 Promo) 4d3n Perhentian Island Resort (PIR) Snorkeling Package",102.743217,5.902583,true,"holidaygogogopackages","RM 870","https://www.holidaygogogo.com/4d3n-perhentian-island-resort-snorkeling-package/"
"Perhentian Island Resort","(2025 Promo) 3d2n Perhentian Island Resort Discovery Package",102.743217,5.902583,true,"holidaygogogopackages","RM 575","https://www.holidaygogogo.com/3d2n-perhentian-island-resort-discovery-package/"
"Perhentian Island Resort","(2025 Promo) 4d3n Perhentian Island Resort Discovery Package",102.743217,5.902583,true,"holidaygogogopackages","RM 805","https://www.holidaygogogo.com/4d3n-perhentian-island-resort-discovery-package/"
"Perhentian Island Resort","(2025 Promo) 3d2n Perhentian Island Resort (PIR) Honeymoon Package",102.743217,5.902583,true,"holidaygogogopackages","RM 1,045","https://www.holidaygogogo.com/3d2n-perhentian-island-resort-pir-honeymoon-package/"
"Perhentian Island Resort","(2025 Promo) 4d3n Perhentian Island Resort (PIR) Honeymoon Package",102.743217,5.902583,true,"holidaygogogopackages","RM 1,377","https://www.holidaygogogo.com/4d3n-perhentian-island-resort-pir-honeymoon-package/"
"Perhentian Island Resort","(2025 Promo) 3d2n Perhentian Island Resort Fun Diving Package",102.743217,5.902583,true,"holidaygogogopackages","RM 780","https://www.holidaygogogo.com/3d2n-perhentian-half-board-diving-package-perhentian-island-resort/"
"Perhentian Island Resort","(2025 Promo) 3D2N Perhentian, Lang Tengah & Redang Island Tour Package",102.743217,5.902583,true,"holidaygogogopackages","RM 695","https://www.holidaygogogo.com/3d2n-perhentian-island-resort-free-easy-snorkeling-package/"
"Perhentian Island Resort","(2025 Promo) 3d2n Perhentian Island Resort Teambuilding Package",102.743217,5.902583,true,"holidaygogogopackages","RM 680","https://www.holidaygogogo.com/3d2n-perhentian-island-resort-teambuilding-package/"
"Perhentian Island Resort","(HRDC) 3D2N Perhentian Island Resort Teambuilding Tour Package",102.743217,5.902583,true,"holidaygogogopackages","RM 1,325","https://www.holidaygogogo.com/hrdc-3d2n-perhentian-island-resort-teambuilding-tour-package/"
"Perhentian Shari-La Island Resort","(2025 Promo) 3d2n Perhentian Shari-La Island Resort Snorkeling Package",102.720456,5.920123,true,"holidaygogogopackages","RM 465","https://www.holidaygogogo.com/3d2n-perhentian-full-board-snorkeling-package-shari-la-island-resort/"
"Shari-La Island Resort","(2025 Promo) 4D3N Perhentian Shari-La Island Resort Snorkeling Package",102.720456,5.920123,true,"holidaygogogopackages","RM 647","https://www.holidaygogogo.com/4d3n-perhentian-shari-la-island-resort-snorkeling-package/"
"Shari-La Island Resort","(2025 Promo) 3d2n Perhentian Shari-La Island Resort Free & Easy Package",102.720456,5.920123,true,"holidaygogogopackages","RM 345","https://www.holidaygogogo.com/3d2n-perhentian-shari-la-island-resort-free-easy-package/"
"Mimpi Perhentian Resort","(CNY LIMITED OFFER!) 3d2n Mimpi Perhentian Resort, Snorkeling Paradise Package",102.723002,5.921459,true,"holidaygogogopackages","RM 888","https://www.holidaygogogo.com/3d2n-mimpi-perhentian-half-board-snorkeling-package/"
"Mimpi Perhentian Resort","(2025 Promo) 3d2n Mimpi Perhentian Resort Exploration Package",102.723002,5.921459,true,"holidaygogogopackages","RM 1,130","https://www.holidaygogogo.com/3d2n-mimpi-perhentian-resort-exploration-package/"
"Mimpi Perhentian Resort","(2025 Promo) 4D3N Mimpi Perhentian Resort Exploration Package",102.723002,5.921459,true,"holidaygogogopackages","RM 1,570","https://www.holidaygogogo.com/4d3n-mimpi-perhentian-resort-exploration-package/"
"Mimpi Perhentian Resort","(2025 Promo) 3d2n Mimpi Perhentian Resort Honeymoon Package",102.723002,5.921459,true,"holidaygogogopackages","RM 1,700","https://www.holidaygogogo.com/3d2n-mimpi-perhentian-resort-honeymoon-package/"
"Mimpi Perhentian Resort","(2025 Promo) 3D2N Mimpi Perhentian Resort Free & Easy Package",102.723002,5.921459,true,"holidaygogogopackages","RM 1,050","https://www.holidaygogogo.com/mimpi-perhentian-resort-room-boat-package/"
"Mimpi Perhentian Resort","(2025 Promo) 3D2N Mimpi Perhentian Resort Fun Dives Package",102.723002,5.921459,true,"holidaygogogopackages","RM 1,450","https://www.holidaygogogo.com/3d2n-mimpi-perhentian-resort-fun-dives-package/"
"Mimpi Perhentian Resort","(HRDC) 3D2N Mimpi Perhentian Resort Teambuilding Tour Package",102.723002,5.921459,true,"holidaygogogopackages","RM 2,000","https://www.holidaygogogo.com/hrdc-3d2n-mimpi-perhentian-resort-teambuilding-tour-package/"
"Senja Bay Resort","(2025 Promo) 3d2n Perhentian Senja Bay Resort Snorkelling Package",102.716906,5.912277,true,"holidaygogogopackages","RM 561","https://www.holidaygogogo.com/3d2n-perhentian-snorkelling-package-senja-bay-resort/"
"Samudra Beach Chalet","(2025 Promo) 3d2n Perhentian Samudra Beach Chalet Snorkeling Package",102.749794,5.893967,true,"holidaygogogopackages","RM 330","https://www.holidaygogogo.com/3d2n-perhentian-samudra-beach-chalet-snorkeling-package/"
"Samudra Beach Chalet","(2025 Promo) 2d1n Perhentian Samudra Beach Chalet Snorkeling Package",102.749794,5.893967,true,"holidaygogogopackages","RM 230","https://www.holidaygogogo.com/perhentian-samudra-beach-room-boat-package/"
"Samudra Beach Chalet","(2025 Promo) 4D3N Perhentian Samudra Beach Chalet Rawa + Susu Dara Snorkeling Package",102.749794,5.893967,true,"holidaygogogopackages","RM 500","https://www.holidaygogogo.com/4d3n-perhentian-samudra-beach-chalet-snorkeling-package/"
"The Barat Beach Resort","",102.7392473,5.9007076,true,"geocodecaches","",""
